Date,Number of Orders,Status of Order, Total CBV ,Service,,,,Data Dictionary
2016-01-03,80590,Completed,"  1,359,740,200 ",GO-FOOD,,,,
2016-01-03,70,Completed,"  10,756,200 ",GO-GLAM,,,,
2016-01-03,0,Completed,"  27,300 ",GO-KILAT,,,,
2016-01-03,3210,Completed,"  44,935,800 ",GO-MART,,,,
2016-01-03,610,Completed,"  119,873,390 ",GO-MASSAGE,,,,
2016-01-03,167840,Completed,"  3,721,508,700 ",GO-RIDE,,,,
2016-01-03,14240,Completed,"  526,746,220 ",GO-SEND,,,,
2016-01-03,14390,Completed,"  341,455,660 ",GO-SHOP,,,,
2016-01-03,0,Completed,  -   ,GO-TIX,,,,
2016-01-03,0,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-03,50,No Driver Found,"  37,631,230 ",GO-BOX,,,,
2016-01-03,10,No Driver Found,"  664,300 ",GO-CLEAN,,,,
2016-01-03,1340,No Driver Found,"  28,128,100 ",GO-FOOD,,,,
2016-01-03,30,No Driver Found,"  5,068,700 ",GO-GLAM,,,,
2016-01-03,0,No Driver Found,"  36,400 ",GO-MART,,,,
2016-01-03,50,No Driver Found,"  9,464,000 ",GO-MASSAGE,,,,
2016-01-03,810,No Driver Found,"  25,387,180 ",GO-RIDE,,,,
2016-01-03,20,No Driver Found,"  980,980 ",GO-SEND,,,,
2016-01-03,60,No Driver Found,"  1,466,920 ",GO-SHOP,,,,
2016-01-03,10,Other,"  172,900 ",GO-FOOD,,,,
2016-01-03,0,Other,"  18,200 ",GO-MART,,,,
2016-01-03,10,Other,"  196,560 ",GO-RIDE,,,,
2016-01-04,250,Cancelled,"  107,114,280 ",GO-BOX,,,,
2016-01-04,10,Cancelled,"  1,756,300 ",GO-CLEAN,,,,
2016-01-04,31980,Cancelled,"  551,014,100 ",GO-FOOD,,,,
2016-01-04,10,Cancelled,"  1,446,900 ",GO-GLAM,,,,
2016-01-04,0,Cancelled,"  54,600 ",GO-KILAT,,,,
2016-01-04,2230,Cancelled,"  31,213,000 ",GO-MART,,,,
2016-01-04,60,Cancelled,"  10,639,720 ",GO-MASSAGE,,,,
2016-01-04,51680,Cancelled,"  1,254,493,240 ",GO-RIDE,,,,
2016-01-04,5190,Cancelled,"  204,997,520 ",GO-SEND,,,,
2016-01-04,12080,Cancelled,"  321,306,440 ",GO-SHOP,,,,
2016-01-04,140,Cancelled,  -   ,GO-TIX,,,,
2016-01-04,530,Completed,"  204,307,740 ",GO-BOX,,,,
2016-01-04,160,Completed,"  25,536,420 ",GO-CLEAN,,,,
2016-01-04,66340,Completed,"  1,120,100,800 ",GO-FOOD,,,,
2016-01-04,50,Completed,"  8,517,600 ",GO-GLAM,,,,
2016-01-04,30,Completed,"  709,800 ",GO-KILAT,,,,
2016-01-04,2620,Completed,"  36,654,800 ",GO-MART,,,,
2016-01-04,450,Completed,"  86,796,710 ",GO-MASSAGE,,,,
2016-01-04,335510,Completed,"  7,218,069,040 ",GO-RIDE,,,,
2016-01-04,29530,Completed,"  1,092,309,400 ",GO-SEND,,,,
2016-01-04,15740,Completed,"  387,175,880 ",GO-SHOP,,,,
2016-01-04,20,Completed,  -   ,GO-TIX,,,,
2016-01-04,10,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-04,40,No Driver Found,"  27,654,445 ",GO-BOX,,,,
2016-01-04,0,No Driver Found,"  773,500 ",GO-CLEAN,,,,
2016-01-04,820,No Driver Found,"  17,235,400 ",GO-FOOD,,,,
2016-01-04,10,No Driver Found,"  1,847,300 ",GO-GLAM,,,,
2016-01-04,30,No Driver Found,"  5,241,600 ",GO-MASSAGE,,,,
2016-01-04,640,No Driver Found,"  18,374,720 ",GO-RIDE,,,,
2016-01-04,30,No Driver Found,"  1,122,940 ",GO-SEND,,,,
2016-01-04,60,No Driver Found,"  1,383,200 ",GO-SHOP,,,,
2016-01-04,30,Other,"  464,100 ",GO-FOOD,,,,
2016-01-04,0,Other,"  18,200 ",GO-MART,,,,
2016-01-04,500,Other,"  11,367,720 ",GO-RIDE,,,,
2016-01-04,40,Other,"  1,385,020 ",GO-SEND,,,,
2016-01-04,10,Other,"  269,360 ",GO-SHOP,,,,
2016-01-05,210,Cancelled,"  90,296,570 ",GO-BOX,,,,
2016-01-05,20,Cancelled,"  2,866,500 ",GO-CLEAN,,,,
2016-01-05,36830,Cancelled,"  643,087,900 ",GO-FOOD,,,,
2016-01-05,10,Cancelled,"  1,137,500 ",GO-GLAM,,,,
2016-01-05,0,Cancelled,"  81,900 ",GO-KILAT,,,,
2016-01-05,1790,Cancelled,"  25,043,200 ",GO-MART,,,,
2016-01-05,60,Cancelled,"  11,165,700 ",GO-MASSAGE,,,,
2016-01-05,56800,Cancelled,"  1,324,641,500 ",GO-RIDE,,,,
2016-01-05,5700,Cancelled,"  221,359,320 ",GO-SEND,,,,
2016-01-05,12790,Cancelled,"  332,450,300 ",GO-SHOP,,,,
2016-01-05,140,Cancelled,  -   ,GO-TIX,,,,
2016-01-05,460,Completed,"  175,245,070 ",GO-BOX,,,,
2016-01-05,150,Completed,"  24,409,840 ",GO-CLEAN,,,,
2016-01-05,71380,Completed,"  1,210,827,800 ",GO-FOOD,,,,
2016-01-05,50,Completed,"  7,739,550 ",GO-GLAM,,,,
2016-01-05,30,Completed,"  709,800 ",GO-KILAT,,,,
2016-01-05,2430,Completed,"  34,015,800 ",GO-MART,,,,
2016-01-05,360,Completed,"  72,084,740 ",GO-MASSAGE,,,,
2016-01-05,326610,Completed,"  6,903,733,200 ",GO-RIDE,,,,
2016-01-05,30090,Completed,"  1,107,662,920 ",GO-SEND,,,,
2016-01-05,17070,Completed,"  420,578,340 ",GO-SHOP,,,,
2016-01-05,30,Completed,  -   ,GO-TIX,,,,
2016-01-05,20,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-05,50,No Driver Found,"  40,354,405 ",GO-BOX,,,,
2016-01-05,20,No Driver Found,"  482,300 ",GO-FOOD,,,,
2016-01-05,10,No Driver Found,"  2,529,800 ",GO-GLAM,,,,
